date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_4_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_10_normalized,smart_184_normalized,smart_187_normalized,smart_190_normalized,smart_191_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_197_normalized,smart_198_normalized
2019-12-31,ZA172FBW,ST8000NM0055,8001563222016,0,73.0,90.0,100.0,100.0,93.0,74.0,100.0,100.0,100.0,65.0,73.0,84.0,35.0,73.0,100.0,100.0
2019-12-31,ZA172FE8,ST8000NM0055,8001563222016,0,80.0,91.0,100.0,100.0,93.0,74.0,100.0,100.0,100.0,65.0,92.0,82.0,35.0,80.0,100.0,100.0
2019-12-31,ZA172FKG,ST8000NM0055,8001563222016,0,84.0,91.0,100.0,100.0,93.0,74.0,100.0,100.0,100.0,66.0,95.0,84.0,34.0,84.0,100.0,100.0
2019-12-31,ZA172FLP,ST8000NM0055,8001563222016,0,81.0,91.0,100.0,100.0,94.0,74.0,100.0,100.0,100.0,69.0,90.0,86.0,31.0,81.0,100.0,100.0
2019-12-31,ZA172FSX,ST8000NM0055,8001563222016,0,69.0,91.0,100.0,100.0,93.0,74.0,100.0,100.0,100.0,65.0,96.0,84.0,35.0,69.0,100.0,100.0
2019-12-31,ZA172FV0,ST8000NM0055,8001563222016,0,70.0,91.0,100.0,100.0,93.0,74.0,100.0,100.0,100.0,70.0,97.0,85.0,30.0,70.0,100.0,100.0
2019-12-31,ZA172FVC,ST8000NM0055,8001563222016,0,78.0,90.0,100.0,100.0,94.0,74.0,100.0,100.0,100.0,64.0,96.0,83.0,36.0,78.0,100.0,100.0
2019-12-31,ZA172FW6,ST8000NM0055,8001563222016,0,78.0,91.0,100.0,100.0,93.0,74.0,100.0,100.0,100.0,65.0,91.0,84.0,35.0,78.0,100.0,100.0
2019-12-31,ZA172FWC,ST8000NM0055,8001563222016,0,81.0,91.0,100.0,100.0,93.0,74.0,100.0,100.0,100.0,69.0,95.0,86.0,31.0,81.0,100.0,100.0
2019-12-31,ZA172FXG,ST8000NM0055,8001563222016,0,83.0,96.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,71.0,92.0,95.0,29.0,83.0,100.0,100.0
2019-12-31,ZA172FZR,ST8000NM0055,8001563222016,0,83.0,91.0,100.0,100.0,93.0,74.0,100.0,100.0,100.0,65.0,89.0,83.0,35.0,83.0,100.0,100.0
2019-12-31,ZA172H4X,ST8000NM0055,8001563222016,0,84.0,94.0,100.0,100.0,90.0,76.0,100.0,100.0,100.0,77.0,64.0,87.0,23.0,84.0,100.0,100.0
2019-12-31,ZA172HBC,ST8000NM0055,8001563222016,0,84.0,95.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,63.0,93.0,95.0,37.0,84.0,100.0,100.0
2019-12-31,ZA172HBX,ST8000NM0055,8001563222016,0,82.0,96.0,100.0,100.0,92.0,76.0,100.0,100.0,100.0,66.0,71.0,96.0,34.0,82.0,100.0,100.0
2019-12-31,ZA172HC6,ST8000NM0055,8001563222016,0,83.0,89.0,98.0,100.0,93.0,94.0,100.0,100.0,100.0,54.0,66.0,99.0,46.0,83.0,100.0,100.0
2019-12-31,ZA172HC9,ST8000NM0055,8001563222016,0,73.0,96.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,65.0,96.0,95.0,35.0,73.0,100.0,100.0
2019-12-31,ZA172HCK,ST8000NM0055,8001563222016,0,73.0,95.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,60.0,96.0,94.0,40.0,73.0,100.0,100.0
2019-12-31,ZA172HD5,ST8000NM0055,8001563222016,0,78.0,90.0,97.0,100.0,93.0,94.0,100.0,100.0,100.0,73.0,62.0,99.0,27.0,78.0,100.0,100.0
2019-12-31,ZA172HDQ,ST8000NM0055,8001563222016,0,83.0,96.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,69.0,96.0,96.0,31.0,83.0,100.0,100.0
2019-12-31,ZA172HED,ST8000NM0055,8001563222016,0,83.0,98.0,100.0,100.0,92.0,76.0,100.0,100.0,100.0,68.0,48.0,97.0,32.0,83.0,100.0,100.0
2019-12-31,ZA172HKT,ST8000NM0055,8001563222016,0,84.0,99.0,100.0,100.0,92.0,76.0,100.0,100.0,100.0,65.0,72.0,95.0,35.0,84.0,100.0,100.0
2019-12-31,ZA172JHA,ST8000NM0055,8001563222016,0,80.0,96.0,100.0,100.0,92.0,76.0,100.0,100.0,100.0,65.0,96.0,96.0,35.0,80.0,100.0,100.0
2019-12-31,ZA172JJ4,ST8000NM0055,8001563222016,0,75.0,95.0,100.0,100.0,90.0,93.0,100.0,100.0,100.0,62.0,98.0,100.0,38.0,75.0,100.0,100.0
2019-12-31,ZA172JKT,ST8000NM0055,8001563222016,0,81.0,95.0,100.0,100.0,92.0,76.0,100.0,100.0,100.0,63.0,83.0,96.0,37.0,81.0,100.0,100.0
2019-12-31,ZA172JML,ST8000NM0055,8001563222016,0,83.0,96.0,100.0,100.0,92.0,76.0,100.0,100.0,100.0,63.0,67.0,95.0,37.0,83.0,100.0,100.0
2019-12-31,ZA172JP3,ST8000NM0055,8001563222016,0,80.0,96.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,64.0,95.0,95.0,36.0,80.0,100.0,100.0
2019-12-31,ZA172JQH,ST8000NM0055,8001563222016,0,77.0,96.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,71.0,68.0,96.0,29.0,77.0,100.0,100.0
2019-12-31,ZA172JQR,ST8000NM0055,8001563222016,0,81.0,89.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,59.0,97.0,96.0,41.0,81.0,100.0,100.0
2019-12-31,ZA172JQW,ST8000NM0055,8001563222016,0,84.0,98.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,61.0,88.0,96.0,39.0,84.0,100.0,100.0
2019-12-31,ZA172JQY,ST8000NM0055,8001563222016,0,84.0,95.0,100.0,100.0,92.0,76.0,100.0,100.0,100.0,63.0,97.0,96.0,37.0,84.0,100.0,100.0
2019-12-31,ZA172JR3,ST8000NM0055,8001563222016,0,80.0,98.0,100.0,100.0,93.0,76.0,100.0,100.0,98.0,58.0,1.0,96.0,42.0,80.0,100.0,100.0
2019-12-31,ZA172JS6,ST8000NM0055,8001563222016,0,75.0,95.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,62.0,90.0,96.0,38.0,75.0,100.0,100.0
2019-12-31,ZA172JSZ,ST8000NM0055,8001563222016,0,83.0,96.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,61.0,95.0,94.0,39.0,83.0,100.0,100.0
2019-12-31,ZA172JWW,ST8000NM0055,8001563222016,0,75.0,94.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,70.0,96.0,96.0,30.0,75.0,100.0,100.0
2019-12-31,ZA172JXD,ST8000NM0055,8001563222016,0,83.0,95.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,73.0,95.0,95.0,27.0,83.0,100.0,100.0
2019-12-31,ZA172JZ9,ST8000NM0055,8001563222016,0,81.0,96.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,65.0,73.0,95.0,35.0,81.0,100.0,100.0
2019-12-31,ZA172K2J,ST8000NM0055,8001563222016,0,77.0,98.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,60.0,69.0,96.0,40.0,77.0,100.0,100.0
